past_team_text,normalized_past,matched_official_team,match_score,method,needs_review
Rutgers,rutgers,Rutgers,100.0,exact_norm,False
SMU,smu,SMU,100.0,exact_norm,False
Saint Joseph s,saint joseph s,St Joseph's PA,71.42857142857143,rapidfuzz_wratio,True
Saint Louis,saint louis,St Louis,100.0,exact_norm,False
Saint Mary s,saint mary s,St Mary's CA,66.66666666666667,rapidfuzz_wratio,True
Saint Peter s,saint peter s,St Peter's,78.26086956521739,rapidfuzz_wratio,True
Sam Houston St,sam houston st,Sam Houston St,100.0,exact_norm,False
Samford,samford,Samford,100.0,exact_norm,False
San Diego,san diego,San Diego,100.0,exact_norm,False
San Diego St,san diego st,San Diego St,100.0,exact_norm,False
San Francisco,san francisco,San Francisco,100.0,exact_norm,False
Seton Hall,seton hall,Seton Hall,100.0,exact_norm,False
Siena,siena,Siena,100.0,exact_norm,False
South Alabama,south alabama,South Alabama,100.0,exact_norm,False
South Carolina,south carolina,South Carolina,100.0,exact_norm,False
South Dakota St,south dakota state,S Dakota St,85.5,rapidfuzz_wratio,True
South Florida,south florida,South Florida,100.0,exact_norm,False
Southeast Missouri St,southeast missouri st,SE Missouri St,90.0,rapidfuzz_wratio,False
Southern,southern,Southern Univ,95.0,rapidfuzz_wratio,False
Southern Miss,southern miss,Southern Miss,100.0,exact_norm,False
St Bonaventure,saint bonaventure,St Bonaventure,100.0,exact_norm,False
St John s,st john s,St John's,100.0,exact_norm,False
Stanford,stanford,Stanford,100.0,exact_norm,False
Stephen F Austin,stephen f austin,SF Austin,85.5,rapidfuzz_wratio,True
Stetson,stetson,Stetson,100.0,exact_norm,False
Stony Brook,stony brook,Stony Brook,100.0,exact_norm,False
Syracuse,syracuse,Syracuse,100.0,exact_norm,False
TCU,texas christian,TCU,100.0,exact_norm,False
Temple,temple,Temple,100.0,exact_norm,False
Tennessee,tennessee,Tennessee,100.0,exact_norm,False
Texas,texas,Texas,100.0,exact_norm,False
Texas A M,texas a m,Texas A&M,100.0,exact_norm,False
Texas A M Corpus Chris,texas a m corpus chris,TAM C. Christi,90.0,rapidfuzz_wratio,False
Texas Southern,texas southern,TX Southern,90.0,rapidfuzz_wratio,False
Texas Tech,texas tech,Texas Tech,100.0,exact_norm,False
Troy,troy,Troy,100.0,exact_norm,False
Tulsa,tulsa,Tulsa,100.0,exact_norm,False
UAB,uab,UAB,100.0,exact_norm,False
UC Davis,uc davis,UC Davis,100.0,exact_norm,False
UC Irvine,uc irvine,UC Irvine,100.0,exact_norm,False
UC Santa Barbara,uc santa barbara,UC Santa Barbara,100.0,exact_norm,False
UCF,ucf,UCF,100.0,exact_norm,False
UCLA,ucla,UCLA,100.0,exact_norm,False
UMBC,umbc,UMBC,100.0,exact_norm,False
UNC Asheville,north carolina asheville,UNC Asheville,100.0,exact_norm,False
UNC Greensboro,north carolina greensboro,UNC Greensboro,100.0,exact_norm,False
UNC Wilmington,north carolina wilmington,UNC Wilmington,100.0,exact_norm,False
UNLV,unlv,UNLV,100.0,exact_norm,False
USC,southern california,USC,100.0,exact_norm,False
UT Arlington,ut arlington,UT Arlington,100.0,exact_norm,False
UTEP,utep,UTEP,100.0,exact_norm,False
UTSA,utsa,UT San Antonio,67.5,rapidfuzz_wratio,True
Utah,utah,Utah,100.0,exact_norm,False
Utah St,utah state,Utah St,100.0,exact_norm,False
VCU,vcu,VCU,100.0,exact_norm,False
Valparaiso,valparaiso,Valparaiso,100.0,exact_norm,False
Vanderbilt,vanderbilt,Vanderbilt,100.0,exact_norm,False
Vermont,vermont,Vermont,100.0,exact_norm,False
Villanova,villanova,Villanova,100.0,exact_norm,False
Virginia,virginia,Virginia,100.0,exact_norm,False
Virginia Tech,virginia tech,Virginia Tech,100.0,exact_norm,False
Wagner,wagner,Wagner,100.0,exact_norm,False
Wake Forest,wake forest,Wake Forest,100.0,exact_norm,False
Washington,washington,Washington,100.0,exact_norm,False
Washington St,washington state,Washington St,100.0,exact_norm,False
Weber St,weber st,Weber St,100.0,exact_norm,False
West Virginia,west virginia,West Virginia,100.0,exact_norm,False
Western Kentucky,western kentucky,WKU,90.0,rapidfuzz_wratio,False
Western Michigan,western michigan,W Michigan,90.0,rapidfuzz_wratio,False
Wichita St,wichita state,Wichita St,100.0,exact_norm,False
Winthrop,winthrop,Winthrop,100.0,exact_norm,False
Wisconsin,wisconsin,Wisconsin,100.0,exact_norm,False
Wofford,wofford,Wofford,100.0,exact_norm,False
Wright St,wright st,Wright St,100.0,exact_norm,False
Wyoming,wyoming,Wyoming,100.0,exact_norm,False
Xavier,xavier,Xavier,100.0,exact_norm,False
Yale,yale,Yale,100.0,exact_norm,False
